Date,Close,High,Low,Open,Volume
9/2/2020,1934.400024,1967.300049,1934.400024,1967.300049,71
9/3/2020,1927.599976,1938.800049,1923,1937.099976,179
9/4/2020,1923.900024,1939.699951,1917.699951,1927.900024,607
9/8/2020,1933,1937.900024,1903.099976,1930.900024,271
9/9/2020,1944.699951,1946.199951,1924.599976,1926.900024,219
9/10/2020,1954.199951,1962.699951,1944.099976,1944.099976,722
9/11/2020,1937.800049,1949.5,1937.800049,1944,73
9/14/2020,1953.099976,1953.099976,1943,1946.300049,55
9/15/2020,1956.300049,1968.5,1955.800049,1955.800049,74
9/16/2020,1960.199951,1961.400024,1956.699951,1961.300049,124
9/17/2020,1940,1946,1933.699951,1939,67
9/18/2020,1952.099976,1952.099976,1949,1950.5,38
9/21/2020,1901.199951,1946.199951,1883.400024,1946.199951,52
9/22/2020,1898.599976,1913.099976,1898.599976,1913.099976,331
9/23/2020,1859.900024,1875.5,1859.900024,1875.5,5
9/24/2020,1868.300049,1868.300049,1851.5,1851.5,365
9/25/2020,1857.699951,1857.699951,1856.300049,1856.300049,4
9/28/2020,1872.800049,1872.800049,1872.800049,1872.800049,10455
9/29/2020,1894.300049,1895.400024,1872.400024,1876.5,3283
9/30/2020,1887.5,1899.699951,1879.800049,1893,600
10/1/2020,1908.400024,1909.599976,1882.5,1884.099976,730
10/2/2020,1900.199951,1913,1893.900024,1893.900024,530
10/5/2020,1912.5,1915.599976,1884.699951,1898.900024,1360
10/6/2020,1901.099976,1918,1874.400024,1906.599976,968
10/7/2020,1883.599976,1889.800049,1873.099976,1874.099976,50
10/8/2020,1888.599976,1893,1882.699951,1893,348
10/9/2020,1919.5,1929.099976,1905.099976,1909.300049,580
10/12/2020,1922.5,1926.5,1921.599976,1924,96
10/13/2020,1888.5,1922.199951,1887,1921.900024,191
10/14/2020,1901.300049,1910.800049,1882.5,1889.699951,33
10/15/2020,1903.199951,1906.300049,1889.599976,1897.300049,254
10/16/2020,1900.800049,1900.800049,1898.5,1898.5,53
10/19/2020,1906.400024,1907.800049,1899.5,1907.300049,43
10/20/2020,1910.400024,1910.400024,1896.099976,1901.300049,329
10/21/2020,1924.599976,1927.300049,1913.599976,1913.599976,1202
10/22/2020,1901.099976,1924.300049,1898.199951,1924.300049,899
10/23/2020,1902,1913.300049,1896.199951,1899.900024,287
10/26/2020,1902.699951,1907,1893.5,1895.5,242
10/27/2020,1908.800049,1908.800049,1904.400024,1904.599976,176
10/28/2020,1876.199951,1876.199951,1870.900024,1870.900024,277
10/29/2020,1865.599976,1879.800049,1858.800049,1876.099976,240
10/30/2020,1877.400024,1886.599976,1862.800049,1862.800049,725
11/2/2020,1890.400024,1894.699951,1872.900024,1872.900024,190
11/3/2020,1908.5,1908.5,1891.5,1891.5,712
11/4/2020,1894.599976,1907,1885.300049,1893.800049,782
11/5/2020,1945.300049,1948,1901.699951,1901.699951,135
11/6/2020,1950.300049,1958.800049,1940.800049,1940.800049,304
11/9/2020,1853.199951,1963.199951,1847.099976,1955.599976,745
11/10/2020,1875.400024,1885.300049,1871.199951,1879.300049,276
11/11/2020,1860.699951,1878.800049,1855.5,1878.800049,222
